Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance,Prepn_Time
36.0,4.2,Fog,Jam,2,Snack,motorcycle,3.0,No,Metropolitian,46,10.27146402322959,15
21.0,4.7,Stormy,High,1,Meal,motorcycle,1.0,No,Metropolitian,23,6.229376076976494,10
23.0,4.7,Sandstorms,Medium,1,Drinks,scooter,1.0,No,Metropolitian,21,13.764305929575334,10
34.0,4.3,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,20,2.9277947281095997,10
24.0,4.7,Fog,Jam,1,Snack,scooter,1.0,No,Metropolitian,41,19.373484088636204,15
29.0,4.5,Sandstorms,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,20,13.74093223440384,10
35.0,4.0,Windy,High,1,Meal,scooter,1.0,No,Metropolitian,33,6.205589948339296,15
33.0,4.2,Sandstorms,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,40,16.821191645783845,10
34.0,4.9,Cloudy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,41,10.738078032534391,10
21.0,4.7,Windy,Jam,0,Meal,motorcycle,1.0,No,Urban,15,4.533895591762032,15
25.0,4.1,Sandstorms,Jam,0,Snack,motorcycle,2.0,No,Metropolitian,36,12.235136123611104,5
31.0,4.7,Sandstorms,Low,2,Meal,electric_scooter,0.0,No,Metropolitian,26,19.590994221235693,15
37.0,5.0,Sandstorms,Low,1,Snack,motorcycle,1.0,No,Metropolitian,20,1.5549501809798034,15
33.0,4.3,Windy,Jam,2,Meal,scooter,1.0,No,Metropolitian,39,20.140905255245308,15
25.0,4.0,Cloudy,High,1,Buffet,motorcycle,1.0,No,Metropolitian,34,6.106736943461254,5
29.0,4.5,Sunny,Medium,2,Meal,electric_scooter,1.0,No,Metropolitian,15,17.04198395713103,15
27.0,5.0,Stormy,Jam,0,Snack,motorcycle,0.0,No,Urban,18,4.465068381023686,5
35.0,4.3,Cloudy,Low,1,Drinks,scooter,0.0,No,Metropolitian,38,13.66073757837138,10
32.0,4.0,Windy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,47,13.94563444308926,15
23.0,4.8,Windy,Low,2,Buffet,electric_scooter,0.0,No,Urban,12,16.82479191121949,10
31.0,4.8,Sandstorms,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,26,4.664630782216606,15
36.0,4.1,Stormy,Low,0,Drinks,motorcycle,1.0,No,Urban,22,7.589769422472331,5
26.0,4.3,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Urban,21,7.705941974795929,10
38.0,4.9,Cloudy,High,1,Drinks,scooter,1.0,No,Urban,25,6.164143763345328,5
32.0,3.5,Stormy,Jam,1,Snack,scooter,0.0,No,Urban,35,17.25937671693666,10
32.0,4.6,Cloudy,Low,2,Drinks,scooter,1.0,No,Metropolitian,30,19.880688906108812,10
33.0,4.9,Sunny,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,22,10.706184356730287,15
20.0,4.7,Windy,High,1,Snack,scooter,0.0,No,Urban,10,6.1173690615583665,10
20.0,4.8,Sandstorms,Low,2,Meal,scooter,1.0,No,Metropolitian,19,1.51798712661804,10
35.0,5.0,Sunny,Low,2,Snack,scooter,1.0,No,Urban,11,3.06801652533814,10
26.0,4.9,Stormy,Low,2,Buffet,scooter,0.0,No,Metropolitian,11,3.0990100939449827,15
22.0,4.8,Fog,Low,1,Snack,motorcycle,1.0,No,Metropolitian,28,10.846013590625741,10
35.0,4.3,Cloudy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,33,10.844094035054757,5
30.0,4.7,Cloudy,Medium,1,Drinks,scooter,1.0,No,Metropolitian,33,12.2161949334661,0
37.0,4.7,Sandstorms,Jam,0,Snack,motorcycle,3.0,No,Metropolitian,52,13.661199383826538,5
28.0,4.6,Stormy,Jam,1,Snack,scooter,1.0,No,Metropolitian,22,16.797998791306554,15
37.0,4.9,Fog,Low,1,Snack,scooter,1.0,No,Urban,16,3.0227804656534882,5
23.0,4.9,Sunny,Jam,2,Drinks,electric_scooter,0.0,No,Metropolitian,11,9.1598473686937,5
27.0,4.9,Windy,Medium,1,Drinks,scooter,1.0,No,Metropolitian,25,9.296712100181459,15
37.0,4.8,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Urban,26,6.19680534366793,10
33.0,5.0,Sunny,High,2,Snack,scooter,1.0,No,Metropolitian,18,1.5179748068736865,10
31.0,4.9,Fog,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,16,6.0286740052559145,5
31.0,4.8,Stormy,Low,2,Drinks,scooter,1.0,No,Metropolitian,23,17.044988256333504,10
25.0,5.0,Cloudy,Low,0,Snack,motorcycle,0.0,No,Metropolitian,15,4.707104052532131,15
28.0,4.8,Sandstorms,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,36,12.438888551921162,10
31.0,4.7,Cloudy,Low,2,Snack,motorcycle,0.0,No,Metropolitian,16,9.107220024938373,15
24.0,4.7,Sunny,Medium,0,Buffet,motorcycle,0.0,No,Urban,19,13.994592406584347,5
39.0,4.6,Sunny,Low,1,Snack,motorcycle,1.0,No,Metropolitian,27,13.37733285955016,15
39.0,4.2,Fog,Jam,2,Snack,scooter,1.0,No,Semi-Urban,49,12.552275755914396,15
32.0,4.5,Windy,Low,2,Buffet,scooter,0.0,No,Metropolitian,20,1.4881912567305338,15
36.0,4.7,Cloudy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,30,9.414207472710384,5
25.0,4.8,Sandstorms,Low,1,Drinks,scooter,0.0,No,Urban,18,11.902753837483976,10
33.0,4.9,Sunny,Jam,2,Drinks,scooter,0.0,No,Metropolitian,22,4.654256824131883,5
30.0,4.4,Cloudy,Low,2,Drinks,scooter,1.0,No,Metropolitian,34,10.624594799022637,15
33.0,5.0,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Urban,24,16.790293751513897,5
36.0,4.9,Fog,Medium,2,Drinks,scooter,1.0,No,Metropolitian,17,6.118069582492733,15
21.0,4.8,Sandstorms,Low,2,Meal,electric_scooter,0.0,No,Metropolitian,14,2.992439854304365,10
39.0,4.9,Stormy,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,30,7.335684979628507,5
23.0,4.8,Stormy,Low,1,Meal,scooter,1.0,No,Metropolitian,15,3.1380694073889375,10
35.0,4.8,Fog,Medium,2,Buffet,scooter,1.0,No,Urban,16,6.276138627413788,10
39.0,4.6,Cloudy,Jam,1,Snack,scooter,1.0,No,Metropolitian,36,13.944598794232533,5
22.0,4.7,Sunny,High,1,Buffet,scooter,1.0,No,Urban,18,6.071959804867862,5
32.0,4.6,Fog,Medium,1,Meal,scooter,0.0,No,Metropolitian,17,6.071422120848535,15
24.0,4.8,Sandstorms,Low,1,Buffet,motorcycle,1.0,No,Urban,15,12.552275755914396,5
29.0,4.7,Fog,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,17,3.1380694073889375,10
30.0,4.7,Fog,Low,1,Drinks,scooter,0.0,No,Metropolitian,19,6.1983397369141935,0
26.0,4.7,Fog,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,10,9.204061108012812,15
20.0,4.5,Fog,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,27,7.845173108613386,15
35.0,4.1,Sandstorms,Jam,1,Buffet,motorcycle,2.0,No,Metropolitian,37,13.942135995521298,15
39.0,4.6,Fog,Jam,1,Drinks,scooter,2.0,No,Metropolitian,44,13.945658037651098,10
34.0,4.7,Windy,High,2,Drinks,electric_scooter,1.0,No,Metropolitian,28,6.049848888722569,10
27.0,4.7,Cloudy,Jam,2,Snack,scooter,1.0,No,Metropolitian,42,17.04433026158667,15
30.0,4.8,Windy,Low,1,Snack,motorcycle,1.0,No,Metropolitian,25,17.25937671693666,15
25.0,4.4,Cloudy,Medium,2,Snack,scooter,1.0,No,Metropolitian,39,17.03932066407865,5
25.0,4.7,Stormy,Medium,0,Meal,motorcycle,0.0,No,Urban,20,16.790293751513897,5
30.0,5.0,Stormy,High,1,Buffet,motorcycle,1.0,No,Metropolitian,31,2.9760382618044683,5
24.0,4.6,Stormy,Jam,1,Buffet,motorcycle,0.0,No,Metropolitian,13,9.204543446314432,10
39.0,4.8,Stormy,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,28,7.648215327844155,15
25.0,4.8,Windy,High,1,Snack,scooter,1.0,No,Urban,19,6.164026189217134,5
37.0,4.6,Fog,Low,0,Buffet,motorcycle,2.0,Yes,Urban,42,12.189899417672075,15
24.0,5.0,Fog,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,23,1.5496181081278617,5
25.0,4.2,Stormy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,39,16.87292741872069,15
32.0,4.6,Stormy,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,25,1.5072188473775159,10
34.0,4.7,Sandstorms,Low,1,Drinks,scooter,0.0,No,Metropolitian,15,10.405069829459707,5
38.0,4.9,Cloudy,Low,2,Drinks,scooter,1.0,No,Urban,15,3.0207066398204954,15
36.0,4.8,Sunny,Medium,2,Buffet,electric_scooter,0.0,No,Metropolitian,15,13.391515800863722,5
25.0,5.0,Stormy,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,15,16.695945260596357,15
29.0,5.0,Sunny,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,18,7.756832982430433,5
36.0,4.7,Sandstorms,Low,2,Drinks,electric_scooter,0.0,No,Metropolitian,29,13.750484667228228,10
33.0,4.7,Fog,Low,0,Snack,motorcycle,0.0,No,Metropolitian,20,7.774259486970199,5
36.0,4.4,Cloudy,High,2,Meal,scooter,1.0,No,Metropolitian,39,6.2054267911859675,15
21.0,4.8,Windy,Low,0,Snack,motorcycle,0.0,No,Metropolitian,19,16.824024800777703,15
25.0,4.8,Cloudy,Low,1,Snack,scooter,1.0,No,Urban,19,4.601882860109106,15
23.0,4.8,Windy,Low,0,Meal,motorcycle,0.0,No,Metropolitian,17,19.846613904419858,10
25.0,4.6,Stormy,Low,2,Snack,motorcycle,1.0,No,Urban,15,1.5549023823647297,15
24.0,4.3,Sandstorms,Low,0,Meal,motorcycle,0.0,No,Urban,19,3.020916215301368,15
27.0,4.6,Sandstorms,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,29,13.944427583887085,15
23.0,4.8,Cloudy,Low,2,Snack,scooter,1.0,No,Urban,22,16.80256330471995,5
21.0,4.3,Fog,Jam,1,Drinks,scooter,0.0,No,Metropolitian,42,20.16747676677092,10
27.0,4.7,Sandstorms,Low,2,Snack,scooter,0.0,No,Urban,12,3.0359027903496822,15
32.0,4.2,Cloudy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,38,20.212460530271784,10
25.0,4.6,Sunny,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,23,16.695279587363153,15
39.0,4.7,Cloudy,Low,1,Meal,scooter,0.0,No,Metropolitian,15,2.980982302644845,15
27.0,4.6,Sunny,Low,0,Snack,motorcycle,1.0,No,Metropolitian,24,12.14251877438058,5
39.0,3.8,Windy,Jam,1,Drinks,motorcycle,0.0,No,Metropolitian,37,16.793999796074814,5
31.0,4.8,Sandstorms,Low,1,Snack,scooter,0.0,No,Metropolitian,24,7.747259356564115,10
31.0,4.8,Sunny,Low,2,Buffet,electric_scooter,0.0,No,Metropolitian,13,9.04302772134966,5
20.0,4.8,Cloudy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,16,1.5514770796415487,15
36.0,4.9,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Urban,42,12.056953151951015,10
20.0,4.9,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,17,13.561204009757175,10
